date,crypto,price_open,price_high,price_low,price_close,volume,price_change,price_change_pct,intraday_volatility
2025-09-02,BTC,109243.0703125,111748.015625,108454.03125,111200.5859375,74776999491,1957.515625,1.7918899747145005,3.015279930870901
2025-09-03,BTC,111190.6953125,112600.2265625,110582.9609375,111723.2109375,61119643565,532.515625,0.4789210315695677,1.8142395992133167
2025-09-04,BTC,111718.1484375,112208.328125,109347.2265625,110723.6015625,60131132901,-994.546875,-0.8902285697622287,2.5609998039849584
2025-09-05,BTC,110723.015625,113357.4921875,110233.3984375,110650.984375,60241647677,-72.03125,-0.06505535420382477,2.821539616100029
2025-09-06,BTC,110650.5703125,111275.015625,110024.0859375,110224.6953125,21500719036,-425.875,-0.38488278803917714,1.1305225847161176
2025-09-07,BTC,110221.328125,111591.078125,110211.625,111167.6171875,24618007520,946.2890625,0.8585353475570816,1.2515301244016832
2025-09-08,BTC,111163.015625,112869.234375,110630.609375,112071.4296875,40212813407,908.4140625,0.8171909131760746,2.0138217620434404
2025-09-09,BTC,112077.578125,113225.4375,110776.703125,111530.546875,45984480722,-547.03125,-0.4880826826842178,2.184856610899398
2025-09-10,BTC,111531.25,114275.25,110940.078125,113955.359375,56377473784,2424.109375,2.1734799663771365,2.9903474362566547
2025-09-11,BTC,113961.4296875,115522.546875,113453.8359375,115507.5390625,45685065332,1546.109375,1.3566953128261667,1.8152728894089236
2025-09-12,BTC,115507.7890625,116769.3828125,114794.484375,116101.578125,54785725894,593.7890625,0.5140684167876396,1.7097534750937047
2025-09-13,BTC,116093.5625,116334.6328125,115248.2734375,115950.5078125,34549454947,-143.0546875,-0.12322361758861522,0.9357619420112118
2025-09-14,BTC,115950.2890625,116181.5,115222.3984375,115407.65625,32798036057,-542.6328125,-0.46798745987386703,0.8271661677212562
2025-09-15,BTC,115399.6328125,116747.8828125,114461.0625,115444.875,52937859416,45.2421875,0.03920479328864849,1.9816530232947962
2025-09-16,BTC,115423.7578125,117005.2734375,114813.09375,116843.1875,45781744593,1419.4296875,1.2297552205896738,1.8992447733863282
2025-09-17,BTC,116840.5078125,117328.609375,114794.9765625,116468.5078125,60528025996,-372.0,-0.31838273126728245,2.168454126000421
2025-09-18,BTC,116461.265625,117911.7890625,116188.796875,117137.203125,49457272032,675.9375,0.5803968352675198,1.4794551460980656
2025-09-19,BTC,117137.671875,117479.7578125,115141.8203125,115688.859375,38828473971,-1448.8125,-1.2368459068796052,1.9958886518547687
2025-09-20,BTC,115691.125,116191.1484375,115473.5234375,115721.9609375,22864449614,30.8359375,0.026653675897783863,0.6202939075923066
2025-09-21,BTC,115730.2265625,115901.0859375,115252.578125,115306.09375,22495852193,-424.1328125,-0.366484042326615,0.5603616546536129
2025-09-22,BTC,115309.21875,115431.3125,112037.6484375,112748.5078125,70684158591,-2560.7109375,-2.220733923323021,2.9430986518586573
2025-09-23,BTC,112757.4765625,113351.9140625,111535.5703125,112014.5,47211853279,-742.9765625,-0.6589155638723236,1.6108410771264685
2025-09-24,BTC,112007.6640625,113986.2734375,111229.640625,113328.6328125,48044595085,1320.96875,1.1793556816459476,2.461110885199611
2025-09-25,BTC,113330.1640625,113541.0859375,108713.3984375,109049.2890625,75528654284,-4280.875,-3.7773482774093203,4.2598433876241435
2025-09-26,BTC,109041.296875,110359.1953125,108728.9765625,109712.828125,57738288949,671.53125,0.6158503881055386,1.495047102996958
2025-09-27,BTC,109707.140625,109778.5,109144.296875,109681.9453125,26308042910,-25.1953125,-0.02296597318685244,0.5780873709650566
2025-09-28,BTC,109681.9453125,112375.484375,109236.9453125,112122.640625,33371048505,2440.6953125,2.2252480164771877,2.861491062688431
2025-09-29,BTC,112117.875,114473.5703125,111589.953125,114400.3828125,60000147466,2282.5078125,2.0358108040310254,2.571951339159791
2025-09-30,BTC,114396.5234375,114836.6171875,112740.5625,114056.0859375,58986330258,-340.4375,-0.29759427102345154,1.832271317795046
2025-10-01,BTC,114057.59375,118648.9296875,113981.3984375,118648.9296875,71328680132,4591.3359375,4.025453971581791,4.092258214942396
2025-10-02,BTC,118652.3828125,121086.40625,118383.15625,120681.2578125,71415163912,2028.875,1.709931947347507,2.2782939001501563
2025-10-03,BTC,120656.984375,123944.703125,119344.3125,122266.53125,83941392228,1609.546875,1.3339856646819166,3.8127843562723718
2025-10-04,BTC,122267.46875,122857.640625,121577.5703125,122425.4296875,36769171735,157.9609375,0.12919293996588932,1.046942678691874
2025-10-05,BTC,122419.671875,125559.2109375,122191.9609375,123513.4765625,73689317763,1093.8046875,0.8934876811439747,2.75057917443058
2025-10-06,BTC,123510.453125,126198.0703125,123196.046875,124752.53125,72568881188,1242.078125,1.0056461567207937,2.4305824823278495
2025-10-07,BTC,124752.140625,125184.0234375,120681.96875,121451.3828125,76149412513,-3300.7578125,-2.6458526450635804,3.6087995484045425
2025-10-08,BTC,121448.3515625,124167.09375,121119.1796875,123354.8671875,65354305286,1906.515625,1.5698159756568333,2.509638066953487
2025-10-09,BTC,123337.0703125,123739.34375,119812.03125,121705.5859375,74653009425,-1631.484375,-1.322785088754173,3.1842109513784793
2025-10-10,BTC,121704.7421875,122509.6640625,104582.4140625,113214.3671875,153125018868,-8490.375,-6.976207210496048,14.7301162450852
2025-10-11,BTC,113236.4296875,113429.7265625,109760.5625,110807.8828125,110236934340,-2428.546875,-2.1446692391327518,3.2402682357840473
2025-10-12,BTC,110811.515625,115805.0625,109715.5390625,115169.765625,93710414091,4358.25,3.933029861940398,5.495388636419077
2025-10-13,BTC,115161.6796875,116020.484375,113821.1875,115271.078125,71582026739,109.3984375,0.09499552090318672,1.9097471320042914
2025-10-14,BTC,115264.8828125,115502.8828125,110029.484375,113118.6640625,92212917403,-2146.21875,-1.8619884023924516,4.74853945446985
2025-10-15,BTC,113113.96875,113622.3828125,110235.8359375,110783.1640625,72574132855,-2330.8046875,-2.0605807693402145,2.993924545680836
2025-10-16,BTC,110782.171875,111990.8125,107537.03125,108186.0390625,87306423067,-2596.1328125,-2.3434572265195537,4.020305049647683
2025-10-17,BTC,108179.1328125,109235.8046875,103598.4296875,106467.7890625,99703051669,-1711.34375,-1.5819536591832022,5.211148262549768
2025-10-18,BTC,106483.734375,107490.984375,106387.453125,107198.265625,37779905278,714.53125,0.6710238462182971,1.0363378561778582
2025-10-19,BTC,107204.3125,109488.9921875,106157.7890625,108666.7109375,47657008953,1462.3984375,1.3641227702476988,3.1073405978887276
2025-10-20,BTC,108667.4453125,111711.03125,107485.015625,110588.9296875,63507793085,1921.484375,1.768224484779502,3.8889435680088473
2025-10-21,BTC,110587.6328125,113996.34375,107534.75,108476.890625,101194375480,-2110.7421875,-1.9086602487266706,5.8429623509127415
2025-10-22,BTC,108491.53125,109115.1328125,106778.0,107688.5859375,80807013218,-802.9453125,-0.7400995296579889,2.15420760088129
2025-10-23,BTC,107679.4375,111288.59375,107548.4296875,110069.7265625,54944076060,2390.2890625,2.2198194177045174,3.4734245918585898
2025-10-24,BTC,110069.3515625,111842.53125,109770.1484375,111033.921875,48160816980,964.5703125,0.8763296038428046,1.8827973301207754
2025-10-25,BTC,111032.6171875,111947.703125,110704.40625,111641.7265625,24707667305,609.109375,0.5485859834965443,1.1197582354565716
2025-10-26,BTC,111639.0546875,115260.90625,111268.484375,114472.4453125,41708524143,2833.390625,2.5379923118582703,3.5761874607193564
2025-10-27,BTC,114479.8515625,116273.3125,113882.2890625,114119.328125,61761358733,-360.5234375,-0.3149230476623855,2.088597604613967
2025-10-28,BTC,114129.0859375,116078.984375,112291.6796875,112956.1640625,64528066504,-1172.921875,-1.027715122192709,3.3184395164384517
2025-10-29,BTC,112921.328125,113642.7265625,109368.71875,110055.3046875,62192043469,-2866.0234375,-2.5380709606314684,3.7849429186387367
2025-10-30,BTC,110059.1953125,111612.3515625,106376.6875,108305.546875,69673964814,-1753.6484375,-1.5933683982703344,4.757134601642283
